Default schedule
Rate	44.44
Est Data	55.56
Rate Tried	% Accepted	Est Data Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Data - Dev	Data - Tried	Data - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
441	0.006803	559	0.268336	6.324110	0	0.000000	1.271975	559	0.268336	0.153000	0.159027	
486	0.010288	514	0.287938	6.324110	0	0.000000	1.271975	514	0.287938	0.153000	0.159022	
480	0.004167	520	0.273077	6.324110	0	0.000000	1.271975	520	0.273077	0.144000	0.159010	
422	0.011848	578	0.302768	6.324110	0	0.000000	1.271975	578	0.302768	0.180000	0.159027	
432	0.004630	568	0.228873	6.324110	0	0.000000	1.271975	568	0.228873	0.132000	0.159005	
481	0.008316	519	0.246628	6.324110	0	0.000000	1.271975	519	0.246628	0.132000	0.158983	
438	0.006849	562	0.249110	6.324110	0	0.000000	1.271975	562	0.249110	0.143000	0.158970	
458	0.008734	542	0.269373	6.324110	0	0.000000	1.271975	542	0.269373	0.150000	0.158963	
461	0.008677	539	0.272727	6.324110	0	0.000000	1.271975	539	0.272727	0.151000	0.158956	
465	0.010753	535	0.280374	6.324110	0	0.000000	1.271975	535	0.280374	0.155000	0.158953	
454	0.006608	546	0.261905	6.324110	0	0.000000	1.271975	546	0.261905	0.146000	0.158943	
431	0.009281	569	0.297012	6.324110	0	0.000000	1.271975	569	0.297012	0.173000	0.158954	
443	0.002257	557	0.290844	6.324110	0	0.000000	1.271975	557	0.290844	0.163000	0.158957	
477	0.006289	523	0.256214	6.324110	0	0.000000	1.271975	523	0.256214	0.137000	0.158940	
445	0.006742	555	0.279279	6.324110	0	0.000000	1.271975	555	0.279279	0.158000	0.158939	
454	0.006608	546	0.260073	6.324110	0	0.000000	1.271975	546	0.260073	0.145000	0.158928	
466	0.019313	534	0.267790	6.324110	0	0.000000	1.271975	534	0.267790	0.152000	0.158922	
451	0.008869	549	0.253188	6.324110	0	0.000000	1.271975	549	0.253188	0.143000	0.158910	
419	0.004773	581	0.287435	6.324110	0	0.000000	1.271975	581	0.287435	0.169000	0.158918	
463	0.010799	537	0.288641	6.324110	0	0.000000	1.271975	537	0.288641	0.160000	0.158919	
423	0.002364	577	0.289428	6.324110	0	0.000000	1.271975	577	0.289428	0.168000	0.158926	
443	0.009029	557	0.305206	6.324110	0	0.000000	1.271975	557	0.305206	0.174000	0.158938	
446	0.004484	554	0.261733	6.324110	0	0.000000	1.271975	554	0.261733	0.147000	0.158928	
432	0.009259	568	0.281690	6.324110	0	0.000000	1.271975	568	0.281690	0.164000	0.158932	
447	0.008949	553	0.245931	6.324110	0	0.000000	1.271975	553	0.245931	0.140000	0.158917	
463	0.000000	537	0.279330	6.324110	0	0.000000	1.271975	537	0.279330	0.150000	0.158910	
442	0.002262	558	0.274194	6.324110	0	0.000000	1.271975	558	0.274194	0.154000	0.158906	
450	0.006667	550	0.267273	6.324110	0	0.000000	1.271975	550	0.267273	0.150000	0.158899	
414	0.009662	586	0.281570	6.324110	0	0.000000	1.271975	586	0.281570	0.169000	0.158907	
